feature,target
 đầu ra tin học là gì,Đầu ra Tin học
 em cần bao nhiêu điểm [ic3](it_cert) để được ra trường,Đầu ra Tin học
" em có [mos](it_cert) , em đã đủ điểm tin học ra trường chưa",Đầu ra Tin học
 [ic3](it_cert) có đủ điều kiện tốt nghiệp về tin học không,Đầu ra Tin học
 có những chứng chỉ nào được công nhận đầu ra tin học,Đầu ra Tin học
 em có thể nộp những bằng nào để xét đầu ra tin học,Đầu ra Tin học
 chứng chỉ [mos](it_cert) của em có được công nhận đầu ra không ạ,Đầu ra Tin học
 em muốn tốt nghiệp thì phải có chứng chỉ tin học nào ạ,Đầu ra Tin học
Em thi thử được () điểm liệu có khả năng đỗ không,học lực của người hỏi
Em học giỏi môn A liệu có đủ khả năng ngành B không,học lực của người hỏi
Em thích/đam mê/yêu môn học A thì có thể thi vào ngành B không,học lực của người hỏi
Điểm của em phải nằm trong top bao nhiêu cả nước để có khả năng đỗ,học lực của người hỏi
Em học kém môn A liệu có thể học ngành B không,học lực của người hỏi
Học lực của em như thế này vào học ngành A có vất vả không,học lực của người hỏi
 học khoa có khó không,Nội dung học
 nội dung chính của bộ môn [act](nganh_hoc),Nội dung học
 ngành [act](nganh_hoc) có bao nhiêu tín chỉ,Nội dung học
 các môn học chính của ngành [act](nganh_hoc),Nội dung học
 môn [thống kê] của ngành [act](nganh_hoc)  có khó không,Nội dung học
 ngành [ds](nganh_hoc) đào tạo những kĩ năng gì cho nghề nghiệp tương lai,Nội dung học
 chương trình học có đáp ứng được với nhu cầu của nhà tuyển dụng hay không,Nội dung học
 các môn học của ngành [dseb](nganh_hoc) có vất vả đối với con gái/con trai không,Nội dung học
 môn học [giải tích 3] của ngành [ds](nganh_hoc) có tác dụng gì đối với nghề nghiệp sau này,Nội dung học
 mình sẽ học những gì ở chuyên ngành [định phí bảo hiểm](nganh_hoc) vậy,Nội dung học
 mình sẽ học những môn gì ở chuyên ngành [actuary](nganh_hoc),Nội dung học
 triển vọng ngành học [actuary](nganh_hoc),Triển vọng ngành học
 triển vọng nghề nghiệp trong [5] năm của ngành [actuary](nganh_hoc),Triển vọng ngành học
 thị trường tuyển dụng ngành [actuary](nganh_hoc) như thế nào,Triển vọng ngành học
 môi trường làm việc của ngành [actuary](nganh_hoc) như thế nào,Môi trường làm việc
 môi trường làm việc thường năng động hay yên lặng,Môi trường làm việc
 ngành [định phí bảo hỉểm](nganh_hoc) có cơ hội được tiếp xúc với nhiều người hay không,Môi trường làm việc
 làm việc ngành [actuary](nganh_hoc) có cơ hội được nghiên cứu sâu hay không,Môi trường làm việc
 ví dụ về nghiên cứu trong ngành [actuary](nganh_hoc),Môi trường làm việc
 ví dụ về các môi trường làm việc của ngành [actuary](nganh_hoc),Môi trường làm việc
 đồng nghiệp [actuary](nganh_hoc) có tốt và hòa đồng không,Môi trường làm việc
 có thể thành công với [actuary](nganh_hoc) không,Cơ hội nghề nghiệp
 cơ hội nghề nghiệp của [actuary](nganh_hoc),Cơ hội nghề nghiệp
 lên chức trong ngành [actuary](nganh_hoc) có dễ không,Cơ hội nghề nghiệp
 khả năng thăng tiến trong ngành [actuary](nganh_hoc) liệu có khó không,Cơ hội nghề nghiệp
 ví dụ về những cựu học sinh đã thành công với ngành [toán kinh tế](nganh_hoc) là gì,Cơ hội nghề nghiệp
 công việc ngành [tkt](nganh_hoc) có nặng nhọc quá không,Áp lực công việc
 áp lực công việc [tkt](nganh_hoc),Áp lực công việc
 công việc ngành [tkt](nganh_hoc) có vất vả không,Áp lực công việc
 làm ngành [actuary](nganh_hoc) có mệt mỏi lắm không,Áp lực công việc
 cường độ công việc [dseb](nganh_hoc),Áp lực công việc
" ngành [actuary](nganh_hoc) có phải học tập suốt đời, liên tục học hỏi kiến thức mới không",Yêu cầu ngành__
 ngành [actuary](nganh_hoc) có yêu cầu phải kiếm nhiều chứng chỉ không,Yêu cầu ngành__
 yêu cầu riêng của ngành [actuary](nganh_hoc),Yêu cầu ngành__
 các chứng chỉ nên có của ngành [actuary](nganh_hoc),Yêu cầu ngành__
 môi trường làm việc của ngành [actuary](nganh_hoc) như thế nào,Môi trường làm việc
 môi trường làm việc thường năng động hay yên lặng,Môi trường làm việc
 ngành [định phí bảo hỉểm](nganh_hoc) có cơ hội được tiếp xúc với nhiều người hay không,Môi trường làm việc
 làm việc ngành [actuary](nganh_hoc) có cơ hội được nghiên cứu sâu hay không,Môi trường làm việc
 ví dụ về nghiên cứu trong ngành [actuary](nganh_hoc),Môi trường làm việc
 ví dụ về các môi trường làm việc của ngành [actuary](nganh_hoc),Môi trường làm việc
 đồng nghiệp [actuary](nganh_hoc) có tốt và hòa đồng không,Môi trường làm việc
